1	Rh1	0.00021	3
2	Li1	0.0004	3
3	Au0.978In0.022	0.0005	3
4	Pt1	0.00062	3
5	La1.95Sr0.05Cu1O4	0.001	1
6	Gd0.9Pr0.95Ce0.15Cu1O4	0.001	1
7	La1.92Sr0.08Cu0.99Ni0.01O4	0.001	1
8	La1.85Sr0.15Cu0.96Ni0.04O4	0.001	1
9	Ag0.9Ga0.1	0.0065	3
10	Ag0.81In0.19	0.0074	3
11	C1Nb0.4Ta0.6	0.01	3
12	Gd0.71Sm1.14Ce0.15Cu1O4	0.01	1
13	Mo3Re1	0.01	3
14	Au0.94In0.06	0.0111	3
15	Sn1Te1	0.012	3
16	Ag0.7Zn0.3	0.0125	3
17	Mg0.93Pb0.07	0.013	3
18	Sn0.97As0.025Te0.975	0.0138	3
19	Sn0.995Te1	0.0138	3
20	Al0.05Au0.95	0.0138	3
21	W1	0.0154	3
22	Cd0.6Mg0.4	0.016	3
23	Mo0.7Nb0.3	0.016	3
24	Au0.93In0.07	0.0164	3
25	Ir0.7Os0.3	0.0167	3
26	Fe0.043Ru0.957	0.018	3
27	Ag0.885Sb0.115	0.019	3
28	Ag0.875Ga0.125	0.019	3
29	Sn0.97As0.009Te0.991	0.0195	3
30	Ir0.3Ru0.2Rh0.5	0.02	3
31	Sn0.97As0.008Te0.992	0.022	3
32	Au0.92In0.08	0.022	3
33	C8Rb1	0.023	3
34	Sn0.97As0.01Te0.99	0.023	3
35	Sn0.99Te1	0.024	3
36	Ag0.845Sn0.155	0.025	3
37	Cu0.86Ge0.14	0.025	3
38	Be1	0.026	3
39	Ir0.75Rh0.25	0.026	3
40	Al0.01Au0.92In0.07	0.0278	3
41	Ir0.815Rh0.185	0.028	3
42	Ag0.865Sb0.135	0.028	3
43	Ce1.005Ni2.02Ge1.98	0.03	3
44	Mo0.28Rh0.72	0.03	3
45	Ir0.72Pt0.08Rh0.2	0.03	3
46	As1Rh1.4	0.03	3
47	La0.8Pr0.2Se1	0.03	3
48	Ce0.98La0.02Pt3Si1	0.03	3
49	Cr0.57Mo0.43	0.03	3
50	Ir0.8Rh0.2	0.03	3
51	Au0.915In0.085	0.031	3
52	Sn0.97As0.02Te0.98	0.0318	3
53	Ir0.775Pt0.175Rh0.05	0.032	3
54	Au0.95Ga0.05	0.032	3
55	Ir0.9Pd0.1	0.032	3
56	Ir0.7Ru0.25Rh0.5	0.033	3
57	Sn0.97As0.022Te0.978	0.0332	3
58	Al0.02Au0.92In0.06	0.034	3
59	Au0.84In0.16	0.035	3
60	Ir0.88Pd0.12	0.035	3
61	Ce1.005Ni2.025Ge1.975	0.035	3
62	Ir0.83Pd0.045Pt0.125	0.037	3
